id;file_name;file_type;file_content;file_content_content_type;file_content_content_type;file_validation_type;simple_class_name;full_class_name
1;Direct;Mobility;../fake-data/blob/hipster.png;image/png;Lead;DTO_VALIDATION;PCI Bulgarian;Bike Bacon
2;Pakistan;Clothing e-markets exploit;../fake-data/blob/hipster.png;image/png;Buckinghamshire;DTO_VALIDATION;Steel Marketing Texas;firewall monetize
3;online Avon turquoise;Pennsylvania;../fake-data/blob/hipster.png;image/png;Bacon didactic Planner;DTO_VALIDATION;invoice Officer;Anguilla fuchsia Electronics
4;Keyboard Frozen Soft;Cedi;../fake-data/blob/hipster.png;image/png;virtual viral directional;BUSINESS_VALIDATION;RSS;Future Steel Thailand
5;Cotton programming;Connecticut Concrete;../fake-data/blob/hipster.png;image/png;withdrawal;DTO_VALIDATION;Berkshire boliviano;seamless
6;driver Steel;Pula Wooden payment;../fake-data/blob/hipster.png;image/png;models indexing;DTO_VALIDATION;next-generation;payment Incredible XSS
7;Kansas Accounts;Granite Auto matrix;../fake-data/blob/hipster.png;image/png;teal paradigm;DTO_VALIDATION;Greens;Wooden maximized
8;input Synergized niches;Identity Movies;../fake-data/blob/hipster.png;image/png;Multi-layered;DTO_VALIDATION;Versatile;leading
9;Rubber Refined;Montana;../fake-data/blob/hipster.png;image/png;platforms deliverables Vermont;DTO_VALIDATION;paradigms Corporate;structure
10;backing;input matrix;../fake-data/blob/hipster.png;image/png;reboot;BUSINESS_VALIDATION;Concrete Utah Focused;Plastic Branding Springs
