id;key;desc_ar;desc_en;message_ar;message_en
1;Computers Manager;transmit clicks-and-mortar Concrete;applications Handmade Corporate;red solid;bandwidth-monitored Ball web-readiness
2;Oregon back-end salmon;Hat Rhode;Unbranded;customer bluetooth Silver;Bolivia Metal
3;synthesizing GB;methodical Account Soft;RAM Money;circuit matrix navigating;Alaska Administrator Tonga
4;Gloves scalable;Turnpike;transmit;lavender seamless;target
5;Gloves;reboot programming Pants;Buckinghamshire Automotive;relationships;Gorgeous
6;and orchestration;Concrete;Rustic Granite Fort;Concrete;Kids
7;niches;Customer-focused maroon Nepalese;quantify Chief Junction;Cotton Rustic turn-key;Shirt Specialist
8;Shoes;applications Supervisor;Movies Borders Frozen;Dynamic;navigate Skyway
9;Hills deposit;task-force;Awesome;Cambridgeshire;programming
10;Manager;Account California transform;unleash Advanced;indigo pink;firewall schemas Manager
